            ADDRESS,              NAME,                                                                   OCCUPANT LOADS          ,     DATE,COMMENTS / SPECIAL CONDITIONS ,
 Main St. W.1331,Café Europa,52,10/10/2002,,
 Main St. W. 1395,Good Fortune Rest.,34,10/10/2002,,
Market St. W. 112,The Haven (1st St Church),                                                                                                                           384 in original sanctuary,10/10/2002,"Pre USBC, renovation completed 2010",
Market St. W. 206,Common House,"Dining Rm. 89, Banquet Hall 168, Social Hall 55, Roof Terrace 107",5/9/2017,Complete interior renovation & rear addition.,
Market St. W. 220,L'avventura,47,1/6/2010,theater CO issued in 1976 ,
 Market Street W. 220,Vinegar Hill Theatre ,219,7/25/1997,,
Market St E. 201,Main Library,"                                                             125 McIntire Room, 25 Jefferson Room, 25 Madison Room",2/6/2017,Pre USBC,
Market St. E. 500,City Space,225,6/6/2014,2nd floor assembly space in Market St.parking garage,
Market St. E. 606,General District Court,160,2/29/2008,,
Market St. E. 609,Garden of Sheba restaurant,"                                                                                              49 inside, 25 outside",12/22/2010,,
"Market St E. 609, Suite 111",Club 216,"                                                                                    450 standing, 200 loose chairs, 216 tables & chairs  ",6/15/2004,Both wooden double doors must be hooked open during events,
" Market St. E. 609, Suites 113 &114 Grace Covenant Church                                                   150",,,4/8/2008,,
Market St. 610,City Hall,"                                                                                                     162, Council Chambers",12/19/2003,,
Market St. 800,Rec Ctr Green Room,49,4/15/2010,Space in basement for  Amphitheater performers,
Market St. E. 800,Key Rec. center,"Gym: Sporting event, max 70 on 1st floor. Non-sporting events, 299 Standing, 299 Tables and chairs, 200 loose chairs, Kitchen 54 Standing, 18 Tables and chairs, 38 Chairs, Upstairs classroom 40 standing, 13 tables and chairs, 29 chairs, Dance room 49 total standing",8/5/2005,Pre USBC,
Market St. E 901,Fuel,80,4/1/2010, Must have two unlocked remote doors within the Fuel space during business hours,
Market St. E. 925 ,ABC Preschool,"10 total for each of 8 classrooms, 49 large room",9/29/2006,1993 BOCA 1997 CO,
Market St. E. 1130,Bridge Ministry Church,Fellowship 52   Worship Area 268  Max. 290,12/14/2010,Change of Occupancy modification on co.,
Market St. E. 1208,Casa Padre Church,"                                                                 A-3 use 49, E use 27",9/28/2011,Church,
Market St. 1221,Lunch Box,49,10/27/2004,Rear exit door swings in.,
Market St. E. 1304,Firefly,150,10/31/2011,only two toilets,
 Maury Ave. 115,Anna's Pizza,150,2/1/2012, The back door must be unlocked during business hours,
Maury Ave. 117,Yuan Ho,15,9/17/2003,Met with Health Dept (Archer Campbell) 10-30-06 They will not allow public to access restrooms thru kitchen. AC will let owner know this.,
Meade Park ,Onisty Pool,"                                                                               300 for pool,deck,office, patio ",10/26/2006,Parks & Rec.Dept. will determine safe occ.load in pool,
Melbourne Road 1400,C'ville High School,MLK Jr Performing Arts Ctr 1300 within seating area,5/10/2006,4 exit doors must remain unlocked,
Melbourne Road 1400,C'ville High School,"Large Gym, 1650 for Sporting Events.  School Events 2000 with 1650 outside of sporting event area, 350 inside sporting event area & max 200 loose chairs",12/10/2014,4 exit doors must remain unlocked,
Melbourne Road 1400,C'ville High School,"Small Gym, 400 for Sporting Events. School Events, 750 with 400 outside of sporting event area, 350 inside sporting event area & max 200 loose chairs",12/10/2014,3 exit doors must remain unlocked,
Melbourne Road 1400,C'ville High School,Black Box Theater 299 occupants with max 200 loose chairs,12/10/2014,2exit doors must remain unlocked,
McIntire Rd. 251,Subway Rest.,49,12/10/2014,,
Midmont La 98,St. Thomas Aquinas,“Areas outside of chapel and crypt have maximum occupancy of 10”,5/25/2005,,
Millmont St 1035,Sedona Tap House,"251 Total: Dining seating: 156, Bar seating: 30, Patio seating: 40, Employees: 25",2/20/2013,,
Monticello Ave. W. 111,ACAC,         Studio's A-C 1st fl. 49 each.         Spinning & Group Exercise 2nd fl. 49 ea.,3/20/2013,,
Monticello Ave. W. 201,Portica Church,"Auditorium - 300,  Gallery - 72,  Theater - 30, Playground Rm - 20,  Nursery - 15",11/16/2006,,
Monticello Road 205,Lampo Pizza,49 total with 21 inside and 28 outside,9/8/2008,,
Monticello Road 209,Progressive Arts Initiative,49,12/12/2014,,
Monticello Rd. 407-B,La Taza Coffee shop,15,7/2/2015,Single restroom,
Monticello Rd. 407-D,Jazz & Saxx Club,                                                                      225 Standing or 124 Tables & Chairs,2/3/2005,Front & rear doors must remain unlocked during business hours.,
Monticello Rd 421,Junction Restaurant,"Interior Total 128, all rooms or spaces less than 50",9/5/2017,4 water closets,
Monticello Rd. 501,Mas Restaurant,                                                               150 total no more than 90 inside at a time,5/24/2006,,
Monticello Rd. 1215,Monticello Grill,"                                                                                        1st floor 20, 2nd floor 26",8/10/2006,,
Monticello Rd 1710,Mooses on the Creek,86,5/15/2004,,
Old Preston Ave 120,The Livery Stable Rest,49,9/13/2017,"Single means of egress, 2 restrooms",
Park St. 500,1st Presby. Church preschool,150,10/7/2015,,
Pine St. 708,Mosque/ community ctr.,"1st floor- sanctuary 227, womens suite 78                             2nd floor -(incompete)100 total                             Basement- mulit purpose hall 121",         3/4/2008   Under 2.5 yrs. old classrooms req. exterior door and max. 100 children. 20 sq. ft. per. child req. per classroom.,,
Preston Ave 608 A,Random Row Brewery,"Interior 133, Exterior 142, Total 275",8/29/2016,occupant loads from drawings,
"Preston Ave 722, Suite 101",Kardinal Hall ,"Party Room = 49, Beer hall = 141, Terrace = 90",5/2/2012,,
"Preston Ave. 722, Suite # 103",Timbercreek,Total Occupant load 69,10/1/2015,,
Preston Ave. 917,M & M,"                                                                                  Basement 150 (101 for the larger room, 49 for the smaller room), 1st floor 150 ",7/28/2015,,
Preston Ave.923,Maruthi,15,10/1/2012,,
Preston Ave. 923 G,,15,12/5/2006,Door to bathroom must remain unlocked and available during business hours,
Preston Ave. 945,Shenandoah Joe Coffee,49,4/19/2017,Alterations include expansion of tenant space.,
"Preston Ave.946, # 10",Pearl Garden,49,8/28/2007,,
Preston Ave.1001 B,Washington Park Rec. Center,49,11/14/2005,,
Prospect Ave 746,Apt. Complex ,"meeting room 37, total bld occupant load 66",4/1/2010,BN-16-0173,
Preston Place 608,Psi Chapter Sigma Chi House,"Lounge/Reception; 53, Chapter Rm.; 102, Basement Multi-Purpose Rm.; 183",6/8/2016,information from apt mgr,
Ridge St. 105,Music Resource Center,"                                                    75 Basement, 299 1st floor (including balcony)",9/16/2014, 200 Max. loose chairs. No sprinkler system in building.,
Ridge McIntire 247,Sheben Rest.,149,10/16/2006,,
Ridge McIntire 475,McDonald's,"Seating; 59, standing; 42",1/7/2004,"Kitchen; 10, basement storage; 7",
Rosehill Dr. 1149,Arc of Piedmont Day Care,10,8/28/2017,non-sprinklered bldg.,
Rosehill Dr. 1700,Crow Pool,"   450 for pool,deck,office, patio Balcony T&C=14  chairs = 31 Standing = 43
Dance room near balcony T&C= 33 Chairs= 49 Standing= 49
Dance room with 2 exits (only one marked) T&C= 43 Chairs= 49 standing= 49
Art room T&C= 30 Chairs= 49 standing= 49
Main Area upstairs T&C= 50 chairs= 100 standing= 150
Snack area downstairs=Total of 49 
",7/22/2014, Parks & Rec.Dept. will determine safe occ.load in pool,
Rugby Road 480,Old Prism Coffeehouse,49 on 1st floor,3/13/2017,This building is now used as office space upstairs and sudent center on 1st floor,
Seminole Ctl 101,Plaza Azteca,265,5/10/2006,Previously Boathouse Restaurant,
Seminole Ct. 127,Bounce-N-Play,299,10/8/1998,Could have 370 Based on Plans if fire alarm is installed. No fire alarm was installed,
Seminole Ct. 155,,90,2/17/2010,155 & 157 was combined into one place occupant load is 200 total but owner wants only 95 5/3/2011,
Seminole Ct. 175,Sushi King,193 Dining areas; 6 Kitchen; Total 199,11/30/2006,BN-15-0104,
"Seminole Tr, 1025",Burger King,75,3/31/2015,,
Seminole Tr.1101,Outback Steak House,268,6/10/2010,From Architect drawings,
Seminole Tr. 1185,Hibachi Grill,346,8/21/2012,"Full sprinkler protection, formerly Golden Corral restaurant",
South St. 208,Café in basement,75,7/1/2010,,
,,,3/5/2004,,
W South St. 106,South Street Brewery,61 fixed seats; 88 non-fixed seats; 68 standing; 13 staff; Total Occupant load - 230                                                                                                       ,,,
University Ave 1407,The White Spot,15,10/27/2014,"Pre USBC, single restroom",
 University Ave.1415 ,Qdoba Rest.,122,4/15/2009,,
University Ave. 1427,Little Johns,100,9/8/2003,,
 University Ave.1427 ,Michael's Bistro,120,7/30/2003,,
University Ave. 1505,Trinity Pub,           296 total with 221 upstairs including balcony and 75 downstairs  (no more than 21 on the balcony),7/30/2003,Pre USBC Building,
 University Ave. 1509,Phil's Steak Restaurant,150,11/4/2016,"9 max occupant load downstairs, non fire rated single set of stairs",
 University Ave. 1511,O'Neil's Pub,"                                                                                          203 upstairs, 75 Down",1/7/2004,,
University Ave 1513-15,UVA Community Hall,"Basement; ""Sports Lounge"" 121, First Floor; ""Lounge"" 452, Second Floor; ""Dance - Assembly Area"" 49",4/14/2017,Tenant Upfit Re-issue C.O.,
 University Ave. 1521,The Virginian,75,6/10/2003,,
 University Ave.1511 ,College Inn,120,9/9/2003,,
University Ave 1519,Sheetz Café,157,4/5/2017,,
University Ave 1601,Starbucks coffee,                                                                                                                                                                                                           65 total (1st & 2nd floors),10/25/2002,Per drawings,
University Ave. 1611,Bodo's Rest.,60,5/29/2014,,
Water St. W. 200,Mono Loco,"                                                                                               42 inside, 60 outside",1/25/2005,,
Water St. W. 210 (was 214 W. Water St.),,150,7/15/2003,,
Water St. W. 215,Escafe,150 with 60 permitted outside ,6/30/1995,,
Water St. W. 218 c-103,Bikram Yoga,76,2/9/2012,,
Water St. W 219,Anteroom,"Max occupant load is 300, 300 Standing Room, 200 Loose Chairs, 100 Tables & Chairs",11/1/2013,"Space above/within  Ice Park with entrance on Water Street, access to Ice Park restrooms req'd and egress door into Ice Park behind stage must remain unlocked",
Water St. E. 123,CCA Building,"                                         Theater A 287, Theater A Balcony 115",3/8/2015,C'ville Contemporary Arts Bld. main performance theater,
Water St. E 123,CCA Building,"49 outside terrace, Rehearsal B space,49 chairs or standing, 24  tables & chairs",6/29/2004,"4th Floor, Rehearsal B space & outside terrace",
Water St. E. 123,CCA Building,"165 Standing, or 118 Chairs or 55 tables & chairs",9/18/2006,,
Water St. E 221,The Front Porch,"Large open area- Standing 150, Tables & Chairs 52, Chairs only 113, classrooms at upper area 15",8/29/2016,Old Michie Theater ,
Water St. E. 309,Henry's (back room),66,9/18/2006,,
Water St. 501,The Melting Pot,101,7/18/2006,,
 Water St. E  515,C&O Restaurant,100,3/3/2006,,
Wertland St. 1400,St. Maarten Café,157,10/14/2003,,
Zan Rd 232,Restaurant,20,6/12/1996,By Grover Smiley,
Zan Rd. 238,Cici's Pizza,225,10/9/2002,,
Zan Road 250,Lasar Tag,49,7/15/2003,Previous Office Depot space being used for Lasar Tag until next tenant moves in,
Zan Rd. 241,Fitness Center,134,4/2/2015,per drawings,
,,,7/1/2008,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
